Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %
"DevExpress.Charts.NotificationCenter.Native.ObserverManager..ctor",68,3,0.63,0.03,
"DevExpress.Map.Native.ProjectionUtils.Degree2Radian",32,3,0.30,0.03,
"DevExpress.Skins.SkinColor.GetColor",8,3,0.07,0.03,
"DevExpress.Skins.SkinElement.get_ActualInfo",11,3,0.10,0.03,
"DevExpress.Skins.SkinImage.get_ImageCore",11,3,0.10,0.03,
"DevExpress.Skins.SkinImage.get_IsColorized",13,3,0.12,0.03,
"DevExpress.Skins.SkinManager.GetSkin",135,3,1.25,0.03,
"DevExpress.Utils.AppearanceHelper.Combine",13,3,0.12,0.03,
"DevExpress.Utils.AppearanceHelper.GetOptionState",4,3,0.04,0.03,
"DevExpress.Utils.AppearanceObject.GetAppearanceByOption",6,3,0.06,0.03,
"DevExpress.Utils.AppearanceOptions.GetOptionValue",5,3,0.05,0.03,
"DevExpress.Utils.AppearanceOptions.IsEqual",3,3,0.03,0.03,
"DevExpress.Utils.Drawing.GraphicsInfo.AddGraphics",5,3,0.05,0.03,
"DevExpress.Utils.Win.Hook.HookManager.GetCurrentThreadIdSafe",9,3,0.08,0.03,
"DevExpress.XtraBars.Ribbon.ViewInfo.RibbonItemViewInfo.get_OwnerButtonGroup",3,3,0.03,0.03,
"DevExpress.XtraCharts.Axis2D.UpdateAxisValueContainers",3,3,0.03,0.03,
"DevExpress.XtraCharts.Native.AxisMappingBase.GetDiagramPoint",82,3,0.76,0.03,
"DevExpress.XtraCharts.Native.AxisMappingBase.GetScreenPoint",93,3,0.86,0.03,
"DevExpress.XtraCharts.Native.AxisMappingBase.GetTransformPoint",10,3,0.09,0.03,
"DevExpress.XtraCharts.Native.DiagramPoint.get_Z",3,3,0.03,0.03,
"DevExpress.XtraCharts.Native.DiagramPoint.op_Explicit",10,3,0.09,0.03,
"DevExpress.XtraCharts.Native.RangeWrapper.get_Min",4,3,0.04,0.03,
"DevExpress.XtraCharts.Native.RectangleCorrection.Update",8,3,0.07,0.03,
"DevExpress.XtraCharts.Native.RotatedTextPainterBase.CalculatePoints",16,3,0.15,0.03,
"DevExpress.XtraCharts.Native.RotatedTextPainterNearLine..ctor",14,3,0.13,0.03,
"DevExpress.XtraCharts.Native.SeriesHitTestState.get_Select",4,3,0.04,0.03,
"DevExpress.XtraCharts.SeriesBase.DevExpress.Charts.Native.ISeriesBase.get_ArgumentScaleType",45,3,0.42,0.03,
"DevExpress.XtraCharts.SeriesBase.DevExpress.Charts.Native.ISeriesBase.get_SeriesView",4,3,0.04,0.03,
"DevExpress.XtraCharts.SeriesViewBase.get_Chart",7,3,0.06,0.03,
"DevExpress.XtraCharts.XYDiagram2D.get_IsScrollingEnabled",8,3,0.07,0.03,
"DevExpress.XtraEditors.Controls.HookPopup.GetControlFromHandle",20,3,0.19,0.03,
"DevExpress.XtraLayout.ConstraintsManager.GetIXtraResizableControlConstraints",9,3,0.08,0.03,
"DevExpress.XtraLayout.OptionsItemTextGroup.GetLayoutStyleManager",5,3,0.05,0.03,
"DevExpress.XtraLayout.Registrator.LayoutPaintStyle.GetPainter",4,3,0.04,0.03,
"DevExpress.XtraLayout.ViewInfo.BaseViewInfo.get_Owner",3,3,0.03,0.03,
"DevExpress.XtraMap.MapItem.GetLayer",4,3,0.04,0.03,
"DevExpress.XtraMap.MapPathBase`1[System.__Canon].<ResetStyle>b__8",19,3,0.18,0.03,
"DevExpress.XtraMap.MapSegmentBase.get_Owner",3,3,0.03,0.03,
"DevExpress.XtraMap.Native.MapPathSegmentHelper.GetAreaIncrement",10,3,0.09,0.03,
"DevExpress.XtraMap.Native.MapPathSegmentHelper.GetCentroidIncrement",10,3,0.09,0.03,
"DevExpress.XtraNavBar.NavBarItemLink.get_Item",3,3,0.03,0.03,
"DevExpress.XtraNavBar.NavElement.get_NavBar",3,3,0.03,0.03,
"System.Collections.Generic.List`1+Enumerator[DevExpress.Charts.Native.GRealPoint2D].MoveNext",4,3,0.04,0.03,
"[imm32.dll]",6,2,0.06,0.02,
"[msctf.dll]",6,2,0.06,0.02,
"D3D.Vector2..ctor",2,2,0.02,0.02,
"D3D.Vector2d.Inversion",3,2,0.03,0.02,
"DevExpress.Charts.Native.AggregationCalculator.CreateArray",2,2,0.02,0.02,
"DevExpress.Charts.Native.AggregationPointFilter.GetAggregateFunction",13,2,0.12,0.02,
"DevExpress.Charts.Native.AverageAggregationCalculator.Calculate",6,2,0.06,0.02,
"DevExpress.Charts.Native.AxisGridDataEx.CreateMajorValues",28,2,0.26,0.02,
"DevExpress.Charts.Native.AxisGridDataEx+IdentityGridValueProvider.GridValue",2,2,0.02,0.02,
"DevExpress.Charts.Native.AxisLabelOverlappingResolver.GetBounds",9,2,0.08,0.02,
"DevExpress.Charts.Native.AxisLabelResolveOverlappingCache..ctor",5,2,0.05,0.02,
"DevExpress.Charts.Native.ChartDebug.Assert",2,2,0.02,0.02,
"DevExpress.Charts.Native.GRealPoint2D.get_Y",2,2,0.02,0.02,
"DevExpress.Charts.Native.NumericUnitSelector.RoundMeasureUnit",2,2,0.02,0.02,
"DevExpress.Charts.Native.PointsProcessor.GetSortedByArgumentPoints",8,2,0.07,0.02,
"DevExpress.Charts.Native.RangeHelper.ThrowRangeData",7,2,0.06,0.02,
"DevExpress.Charts.Native.RangeUpdateManager+UpdateGroup+<Axes>d__0.MoveNext",2,2,0.02,0.02,
"DevExpress.Charts.Native.RefinedPoint..ctor",3,2,0.03,0.02,
"DevExpress.Charts.Native.RefinedPointsArgumentAndIndexComparer.Compare",4,2,0.04,0.02,
"DevExpress.Charts.Native.RefinedSeries.DevExpress.Charts.Native.IRefinedSeries.get_Points",68,2,0.63,0.02,
"DevExpress.Charts.Native.RefinedSeries.get_Series",2,2,0.02,0.02,
"DevExpress.Charts.Native.RefinedSeriesGroup.GetMinMaxValues",28,2,0.26,0.02,
"DevExpress.Charts.Native.SideBySideGroupBase.UpdateInteractionKeys",25,2,0.23,0.02,
"DevExpress.Charts.Native.UnitContainer`2[DevExpress.Charts.Native.DateTimeMeasureUnitNative.DevExpress.Charts.Native.DateTimeGridAlignmentNative].GetUnitAt",2,2,0.02,0.02,
"DevExpress.Charts.Native.UnitContainer`2[DevExpress.Charts.Native.DateTimeMeasureUnitNative.DevExpress.Charts.Native.DateTimeGridAlignmentNative].SelectUnit",45,2,0.42,0.02,
