Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %
"DevExpress.XtraCharts.Native.ViewController.get_HasProcessedNotEmptyPoints",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.ViewController.GetISeriesForLegendList",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.ViewController.GetSeriesByAxis",4,0,0.04,0.00,
"DevExpress.XtraCharts.Native.ViewController.Notify",43,0,0.40,0.00,
"DevExpress.XtraCharts.Native.ViewController.Notify","1.417",0,13.13,0.00,
"DevExpress.XtraCharts.Native.ViewController.RaiseRangeChangedEventsIfNecessary",9,0,0.08,0.00,
"DevExpress.XtraCharts.Native.ViewController.RefreshDataInternal",58,0,0.54,0.00,
"DevExpress.XtraCharts.Native.ViewController.RegisterObserver",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.ViewController.RenderChart",60,0,0.56,0.00,
"DevExpress.XtraCharts.Native.ViewController.SendDataAgreggationUpdates",7,0,0.06,0.00,
"DevExpress.XtraCharts.Native.ViewController.UpdateAccordingDataChanges","1.067",0,9.89,0.00,
"DevExpress.XtraCharts.Native.ViewController.UpdateSeriesTemplate",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.VisibleInPanesBehavior..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.VisibleInPanesBehavior.set_VisibleInPanesSerializable",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.VisualRangeData.get_MaxValueInternal",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.WholeChartAppearance.ReadFromXml",4,0,0.04,0.00,
"DevExpress.XtraCharts.Native.XmlUtils.ReadBoolean",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XmlUtils.ReadColor",8,0,0.07,0.00,
"DevExpress.XtraCharts.Native.XmlUtils.ReadEnum",3,0,0.03,0.00,
"DevExpress.XtraCharts.Native.XmlUtils.ReadFillStyle",4,0,0.04,0.00,
"DevExpress.XtraCharts.Native.XmlUtils.String2Color",5,0,0.05,0.00,
"DevExpress.XtraCharts.Native.XmlUtils.String2Enum",2,0,0.02,0.00,
"DevExpress.XtraCharts.Native.XYDiagramMappingContainer..ctor",2,0,0.02,0.00,
"DevExpress.XtraCharts.Native.XYDiagramMappingList.GetMappingContainer",3,0,0.03,0.00,
"DevExpress.XtraCharts.Native.XYDiagramMappingList.GetMappingContainer",4,0,0.04,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneArea.CreateBorderPath",5,0,0.05,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneArea.get_BorderPath",7,0,0.06,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneAreaGenerator.GenerateAreas",4,0,0.04,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneAreas..ctor",30,0,0.28,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneAreas.CalculateClipRegion",9,0,0.08,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneAreas.CalculateSeriesClipRegions",8,0,0.07,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneAreas.GetActualPaneAreas",3,0,0.03,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneLayoutCalculator.Calculate",7,0,0.06,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneLayoutCalculator.CalculateMaxBoundsList",3,0,0.03,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneLayoutHelper.WidenMaxBoundsList",2,0,0.02,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneLengthCalculator.Calculate",2,0,0.02,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneLengthCalculator.CalculateInitialPaneInfoLists",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewData..ctor",38,0,0.35,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewData.CalculateSeriesAndLabelLayout",4,0,0.04,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewData.get_Diagram",2,0,0.02,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewData.Render",10,0,0.09,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewData.RenderAbove",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewData.RenderAxes",5,0,0.05,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewData.RenderBackConstantLines",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewData.RenderConstantLinesTitles",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewData.RenderContent",9,0,0.08,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewData.RenderFrontConstantLines",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewData.RenderGridLines",2,0,0.02,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewData.RenderMiddle",9,0,0.08,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewData.RenderStrips",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewDataCalculator.CalculateAxesCorrection",18,0,0.17,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewDataCalculator.CalculateLabelsLayout",8,0,0.07,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewDataCalculator.CalculateScrollBarViewData",3,0,0.03,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewDataCalculator.CalculateSeriesLabelsCorrection",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewDataCalculator.CreateInstance",137,0,1.27,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewDataCalculator.CreateViewData",40,0,0.37,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewDataCalculator.get_MappingBounds",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewDataCalculator.get_MaximumMappingBounds",2,0,0.02,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewDataCalculator.PrepareAndCheckMappingLimits",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewDataCalculator.UpdateCache",2,0,0.02,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewDataVerticalCalculator..ctor",137,0,1.27,0.00,
"DevExpress.XtraCharts.Native.XYDiagramPaneViewDataVerticalCalculator.get_MappingLimitsCorrectionH",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramSeriesLayout..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramSeriesLayout.Calculate",3,0,0.03,0.00,
"DevExpress.XtraCharts.Native.XYDiagramSeriesLayout.Render",3,0,0.03,0.00,
"DevExpress.XtraCharts.Native.XYDiagramSeriesLayout.RenderShadow",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramSeriesLayout.RenderWholeSeries",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramSeriesLayoutList.Initialize",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramViewData.CalculateSeriesAndLabelLayout",5,0,0.05,0.00,
"DevExpress.XtraCharts.Native.XYDiagramViewData.get_AnnotationsAnchorPointsLayout",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramViewData.get_AnnotationsShapesLayout",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramViewData.Render",11,0,0.10,0.00,
"DevExpress.XtraCharts.Native.XYDiagramViewData.RenderAbove",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramViewData.RenderMiddle",10,0,0.09,0.00,
"DevExpress.XtraCharts.Native.XYDiagramViewDataCalculator..ctor",2,0,0.02,0.00,
"DevExpress.XtraCharts.Native.XYDiagramViewDataCalculator.CalculatePaneViewDataList",41,0,0.38,0.00,
"DevExpress.XtraCharts.Native.XYDiagramViewDataCalculator.CorrectBoundsByShadowAndMargins",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramViewDataCalculator.CorrectRanges",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramViewDataCalculator.GetMaxShadowPane",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramViewDataCalculator.GetShadowActualSize",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.XYDiagramViewDataCalculator.PerformPaneViewDataCalculation",399,0,3.70,0.00,
"DevExpress.XtraCharts.Native.XYDiagramViewDataCalculator.PreparePaneViewDataCalculatorList",139,0,1.29,0.00,
"DevExpress.XtraCharts.Native.XYDiagramWholeMapping..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.Native.ZPlaneRectangle..ctor",11,0,0.10,0.00,
"DevExpress.XtraCharts.Native.ZPlaneRectangle.AreWidthAndHeightPositive",2,0,0.02,0.00,
"DevExpress.XtraCharts.Native.ZPlaneRectangle.op_Explicit",11,0,0.10,0.00,
"DevExpress.XtraCharts.Native.ZPlaneRectangle.op_Explicit",1,0,0.01,0.00,
"DevExpress.XtraCharts.NestedDoughnutSeriesView..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.NumericScaleOptions.DevExpress.Charts.Native.INumericScaleOptions.get_GridAlignment",2,0,0.02,0.00,
"DevExpress.XtraCharts.NumericScaleOptions.GetActualGridAlignment",2,0,0.02,0.00,
"DevExpress.XtraCharts.NumericScaleOptions.HandleGridSpacingChange",2,0,0.02,0.00,
"DevExpress.XtraCharts.NumericScaleOptions.OnScaleChange",1,0,0.01,0.00,
"DevExpress.XtraCharts.OverlappedGanttSeriesView..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.Palette.CreatePredefinedPalette",2,0,0.02,0.00,
"DevExpress.XtraCharts.Palette.GetEntry",1,0,0.01,0.00,
"DevExpress.XtraCharts.Palette.GetEntryByCycle",1,0,0.01,0.00,
"DevExpress.XtraCharts.Palette.ReadFromXml",4,0,0.04,0.00,
"DevExpress.XtraCharts.PaletteEntry.ReadFromXml",3,0,0.03,0.00,
"DevExpress.XtraCharts.PaletteRepository..ctor",5,0,0.05,0.00,
"DevExpress.XtraCharts.PaletteRepository..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.PaletteRepository.RegisterPredefinedPalette",1,0,0.01,0.00,
"DevExpress.XtraCharts.Palettes..cctor",3,0,0.03,0.00,
"DevExpress.XtraCharts.PieDrawOptions..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.PiePointOptions..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.PieSeriesView..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.PieSeriesView.CalculateBounds",2,0,0.02,0.00,
"DevExpress.XtraCharts.PieSeriesView.CalculateMaxLabelOrAnnotationInLableModeSize",1,0,0.01,0.00,
"DevExpress.XtraCharts.PieSeriesView.CreateSeriesDrawOptionsInternal",1,0,0.01,0.00,
"DevExpress.XtraCharts.PieSeriesView.get_BorderColorFromAppearance",1,0,0.01,0.00,
"DevExpress.XtraCharts.PieSeriesView.GetCorrectedByLabelsInHorizontalDirectionPieBounds",1,0,0.01,0.00,
"DevExpress.XtraCharts.PieSeriesView.Render",4,0,0.04,0.00,
"DevExpress.XtraCharts.PieSeriesViewBase..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.PieSeriesViewBase.ApplyExplodeFiltersToPoints",1,0,0.01,0.00,
"DevExpress.XtraCharts.PieSeriesViewBase.CalculatePointLayout",5,0,0.05,0.00,
"DevExpress.XtraCharts.PieSeriesViewBase.CalculatePointsLayout",7,0,0.06,0.00,
"DevExpress.XtraCharts.PieSeriesViewBase.CorrectBoundsByExploding",1,0,0.01,0.00,
"DevExpress.XtraCharts.PieSeriesViewBase.CreatePointOptions",1,0,0.01,0.00,
"DevExpress.XtraCharts.PieSeriesViewBase.FinishUpdateExplodedPoints",2,0,0.02,0.00,
"DevExpress.XtraCharts.PieSeriesViewBase.OnEndLoading",2,0,0.02,0.00,
"DevExpress.XtraCharts.PieSeriesViewBase.Render",5,0,0.05,0.00,
"DevExpress.XtraCharts.PivotGridDataSourceOptions.get_HasDataSource",1,0,0.01,0.00,
"DevExpress.XtraCharts.PivotGridDataSourceOptions.Initialize",1,0,0.01,0.00,
"DevExpress.XtraCharts.PivotGridDataSourceOptions.UpdateDataMembers",1,0,0.01,0.00,
"DevExpress.XtraCharts.PointSeriesView..ctor",6,0,0.06,0.00,
"DevExpress.XtraCharts.PointSeriesView.CreateMarker",1,0,0.01,0.00,
"DevExpress.XtraCharts.PointSeriesViewBase..ctor",5,0,0.05,0.00,
"DevExpress.XtraCharts.PolygonFillStyle..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.Range.get_MaxValueInternal",1,0,0.01,0.00,
"DevExpress.XtraCharts.Range.set_AutoSideMargins",1,0,0.01,0.00,
"DevExpress.XtraCharts.Range.SetMinMaxValues",350,0,3.24,0.00,
"DevExpress.XtraCharts.RangeAreaSeriesView..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.RangeAreaSeriesView.CreatePainter",1,0,0.01,0.00,
"DevExpress.XtraCharts.RectangleFillStyle..ctor",5,0,0.05,0.00,
"DevExpress.XtraCharts.RectangleFillStyle.CreateObjectForClone",14,0,0.13,0.00,
"DevExpress.XtraCharts.RectangleFillStyle.GetGradientFillOptionsType",1,0,0.01,0.00,
"DevExpress.XtraCharts.RectangleFillStyle3D..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.RectangleGradientFillOptions..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.RectangleGradientFillOptions.Assign",1,0,0.01,0.00,
"DevExpress.XtraCharts.RectangleGradientFillOptions.ReadFromXml",1,0,0.01,0.00,
"DevExpress.XtraCharts.RectangleIndents.set_Bottom",17,0,0.16,0.00,
"DevExpress.XtraCharts.RectangleIndents.set_Left",24,0,0.22,0.00,
"DevExpress.XtraCharts.RectangleIndents.set_Right",24,0,0.22,0.00,
"DevExpress.XtraCharts.RectangularBorder..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.RectangularBorder.CalcBorderedRect",6,0,0.06,0.00,
"DevExpress.XtraCharts.RectangularBorder.CalcBorderedSize",3,0,0.03,0.00,
"DevExpress.XtraCharts.ScaleOptionsBase..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.ScaleOptionsBase.DevExpress.Charts.Native.IScaleOptionsBase.get_GridSpacingAuto",3,0,0.03,0.00,
"DevExpress.XtraCharts.ScaleOptionsBase.get_AutoGrid",3,0,0.03,0.00,
"DevExpress.XtraCharts.ScaleOptionsBase.set_ScaleMode",1,0,0.01,0.00,
"DevExpress.XtraCharts.SecondaryAxisCollection+<System.Collections.Generic.IEnumerable<DevExpress.Charts.Native.IAxisData>.GetEnumerator>d__0.MoveNext",1,0,0.01,0.00,
"DevExpress.XtraCharts.Series..ctor",14,0,0.13,0.00,
"DevExpress.XtraCharts.Series..ctor",59,0,0.55,0.00,
"DevExpress.XtraCharts.Series.Assign",4,0,0.04,0.00,
"DevExpress.XtraCharts.Series.ChildCollectionChanged",766,0,7.10,0.00,
"DevExpress.XtraCharts.Series.DevExpress.Charts.Native.ISeries.get_LabelsVisibility",6,0,0.06,0.00,
"DevExpress.XtraCharts.Series.DevExpress.XtraCharts.Native.ISupportID.set_ID",1,0,0.01,0.00,
"DevExpress.XtraCharts.Series.get_CanUpdateBoundPoints",1,0,0.01,0.00,
"DevExpress.XtraCharts.Series.GetBoundPoints",21,0,0.19,0.00,
"DevExpress.XtraCharts.Series.OnEndLoading",1,0,0.01,0.00,
"DevExpress.XtraCharts.Series.ProcessChanged",1,0,0.01,0.00,
"DevExpress.XtraCharts.Series.RenderLegendItem",2,0,0.02,0.00,
"DevExpress.XtraCharts.Series.UpdateBoundPoints",24,0,0.22,0.00,
"DevExpress.XtraCharts.SeriesBase..ctor",12,0,0.11,0.00,
"DevExpress.XtraCharts.SeriesBase.Assign",4,0,0.04,0.00,
"DevExpress.XtraCharts.SeriesBase.AssignView",2,0,0.02,0.00,
"DevExpress.XtraCharts.SeriesBase.CheckScaleTypes",2,0,0.02,0.00,
"DevExpress.XtraCharts.SeriesBase.CheckSummaryFunction",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesBase.CheckSummaryFunction",2,0,0.02,0.00,
"DevExpress.XtraCharts.SeriesBase.CreateNewSeriesLabel",6,0,0.06,0.00,
"DevExpress.XtraCharts.SeriesBase.CreateSeries",5,0,0.05,0.00,
"DevExpress.XtraCharts.SeriesBase.DevExpress.Charts.Native.IPointsFilterOptions.get_Enable",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesBase.DevExpress.Charts.Native.ISeriesTemplate.CreateSeriesForBinding",5,0,0.05,0.00,
"DevExpress.XtraCharts.SeriesBase.get_ActualCrosshairEnabled",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesBase.get_ActualValueDataMembers",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesBase.get_IsToolTipsSupported",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesBase.OnEndLoading",3,0,0.03,0.00,
"DevExpress.XtraCharts.SeriesBase.ProcessChanged",2,0,0.02,0.00,
"DevExpress.XtraCharts.SeriesBase.set_ArgumentScaleType",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesBase.set_View",7,0,0.06,0.00,
"DevExpress.XtraCharts.SeriesBase.SetSeriesLabel",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesBase.SetView",16,0,0.15,0.00,
"DevExpress.XtraCharts.SeriesBase.ShouldUpdateSizeMargins",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesBase.UpdateScaleTypes",2,0,0.02,0.00,
"DevExpress.XtraCharts.SeriesBase.UpdateView",7,0,0.06,0.00,
"DevExpress.XtraCharts.SeriesCollection.Add",3,0,0.03,0.00,
"DevExpress.XtraCharts.SeriesCollection.AddRange",3,0,0.03,0.00,
"DevExpress.XtraCharts.SeriesCollection.ChangeOwnerForItem",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesCollection.GetUpdateInfoSequence",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesCollection.Insert",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesCollection.OnClear",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesCollection.ProcessChanged",30,0,0.28,0.00,
"DevExpress.XtraCharts.SeriesLabelBase.Assign",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesLabelBase.DevExpress.XtraCharts.Native.IHitTest.get_State",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesLabelBase.get_UseTemplateHit",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesPoint..ctor",2,0,0.02,0.00,
"DevExpress.XtraCharts.SeriesPoint.DevExpress.Charts.Native.ISeriesPoint.get_UserArgument",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesPoint.set_Tag",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesPoint.SetArgument",2,0,0.02,0.00,
"DevExpress.XtraCharts.SeriesPoint.SetQualitativeArgument",2,0,0.02,0.00,
"DevExpress.XtraCharts.SeriesPointCollection.Add",771,0,7.15,0.00,
"DevExpress.XtraCharts.SeriesPointCollection.AddRange",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesPointCollection.OnClear",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesPointCollection.OnEndLoading",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesPointCollection.SetID",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesViewBase.CreateContainer",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesViewBase.CreateSeriesDrawOptions",22,0,0.20,0.00,
"DevExpress.XtraCharts.SeriesViewBase.CreateSeriesGroupsContainer",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesViewBase.DevExpress.Charts.Native.ISeriesView.CreateContainer",2,0,0.02,0.00,
"DevExpress.XtraCharts.SeriesViewBase.DevExpress.Charts.Native.ISeriesView.CreateSeriesGroupsContainer",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesViewBase.DevExpress.Charts.Native.ISeriesView.GenerateRandomPoints",7,0,0.06,0.00,
"DevExpress.XtraCharts.SeriesViewBase.DevExpress.Charts.Native.ISeriesView.get_NeedFilterVisiblePoints",3,0,0.03,0.00,
"DevExpress.XtraCharts.SeriesViewBase.DevExpress.Charts.Native.ISeriesView.get_PointIntefaceType",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesViewBase.DevExpress.Charts.Native.ISeriesView.get_ShouldSortPoints",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesViewBase.DevExpress.Charts.Native.ISeriesView.GetRefinedPointMin",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesViewBase.GenerateRandomPoints",6,0,0.06,0.00,
"DevExpress.XtraCharts.SeriesViewBase.get_ActualColor2",2,0,0.02,0.00,
"DevExpress.XtraCharts.SeriesViewBase.get_PaletteEntry",6,0,0.06,0.00,
"DevExpress.XtraCharts.SeriesViewBase.GetArgumentDateTimeMeasureUnit",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesViewBase.RenderLegendMarker",1,0,0.01,0.00,
"DevExpress.XtraCharts.SeriesViewColorEachSupportBase..ctor",3,0,0.03,0.00,
"DevExpress.XtraCharts.Shadow.CreateObjectForClone",6,0,0.06,0.00,
"DevExpress.XtraCharts.SideBySideBar3DSeriesView..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.SideBySideBarSeriesLabel..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.SideBySideBarSeriesView..ctor",4,0,0.04,0.00,
"DevExpress.XtraCharts.SideBySideBarSeriesView.CreateSeriesLabel",1,0,0.01,0.00,
"DevExpress.XtraCharts.SideBySideBarSeriesView.get_EqualBarWidth",2,0,0.02,0.00,
"DevExpress.XtraCharts.SimpleDiagram.CalculateSeriesGroupAreaList",4,0,0.04,0.00,
"DevExpress.XtraCharts.SimpleDiagram.CalculateSeriesGroupAreaList",3,0,0.03,0.00,
"DevExpress.XtraCharts.SimpleDiagram.CalculateSeriesGroupLayouts",3,0,0.03,0.00,
"DevExpress.XtraCharts.SimpleDiagram.CalculateViewData",21,0,0.19,0.00,
"DevExpress.XtraCharts.SimpleDiagram.CreateNativeGraphics",1,0,0.01,0.00,
"DevExpress.XtraCharts.SimpleDiagram.DevExpress.Charts.Native.ISimpleDiagram.get_Dimension",1,0,0.01,0.00,
"DevExpress.XtraCharts.SimpleDiagram.GetFirstSeriesOfGroups",1,0,0.01,0.00,
"DevExpress.XtraCharts.SimpleDiagram.UpdateAutomaticLayout",3,0,0.03,0.00,
"DevExpress.XtraCharts.SimpleDiagram+SeriesGroupCalculator`1[System.__Canon].CalculateSeriesGroups",1,0,0.01,0.00,
"DevExpress.XtraCharts.SimpleDiagramSeriesViewBase.CreateContainer",1,0,0.01,0.00,
"DevExpress.XtraCharts.SimpleMarker..ctor",2,0,0.02,0.00,
"DevExpress.XtraCharts.SolidFillOptions.ReadFromXml",1,0,0.01,0.00,
"DevExpress.XtraCharts.SolidFillOptions.RenderPie",1,0,0.01,0.00,
"DevExpress.XtraCharts.SplineAreaSeriesView..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.StockSeriesView..ctor",2,0,0.02,0.00,
"DevExpress.XtraCharts.SwiftPlotDiagram..ctor",3,0,0.03,0.00,
"DevExpress.XtraCharts.SwiftPlotDiagram.CreateDiagramMapping",1,0,0.01,0.00,
"DevExpress.XtraCharts.SwiftPlotDiagramAxis..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.SwiftPlotDiagramAxisX..ctor",2,0,0.02,0.00,
"DevExpress.XtraCharts.SwiftPlotDiagramAxisXBase..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.SwiftPlotSeriesView.Assign",1,0,0.01,0.00,
"DevExpress.XtraCharts.SwiftPlotSeriesView.CalculateWholeSeriesLayout",2,0,0.02,0.00,
"DevExpress.XtraCharts.SwiftPlotSeriesView.GetLineThickness",1,0,0.01,0.00,
"DevExpress.XtraCharts.SwiftPlotSeriesView.RenderWholeSeries",1,0,0.01,0.00,
"DevExpress.XtraCharts.SwiftPlotSeriesViewBase.Assign",1,0,0.01,0.00,
"DevExpress.XtraCharts.TickmarksX.ApplySignToHalfs",1,0,0.01,0.00,
"DevExpress.XtraCharts.Title..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.TitleBase.get_ActualTextColor",5,0,0.05,0.00,
"DevExpress.XtraCharts.WorkdaysOptions..ctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.WorkdaysOptions.DevExpress.Charts.Native.IWorkdaysOptions.get_FirstDayOfWeek",3,0,0.03,0.00,
"DevExpress.XtraCharts.WorkdaysOptions.DevExpress.Charts.Native.IWorkdaysOptions.get_WorkdaysOnly",1,0,0.01,0.00,
"DevExpress.XtraCharts.XYDiagram..ctor",44,0,0.41,0.00,
"DevExpress.XtraCharts.XYDiagram.CreateAxisX",13,0,0.12,0.00,
"DevExpress.XtraCharts.XYDiagram.OnOwnerChanged",5,0,0.05,0.00,
"DevExpress.XtraCharts.XYDiagram2D..cctor",1,0,0.01,0.00,
"DevExpress.XtraCharts.XYDiagram2D..ctor",27,0,0.25,0.00,
"DevExpress.XtraCharts.XYDiagram2D.CalculateCrosshairViewData",1,0,0.01,0.00,
"DevExpress.XtraCharts.XYDiagram2D.CalculateIndicators",1,0,0.01,0.00,
"DevExpress.XtraCharts.XYDiagram2D.CalculateViewData",612,0,5.67,0.00,
"DevExpress.XtraCharts.XYDiagram2D.ClearAxesLabelBounds",1,0,0.01,0.00,
"DevExpress.XtraCharts.XYDiagram2D.ClearResolveOverlappingCache",5,0,0.05,0.00,
"DevExpress.XtraCharts.XYDiagram2D.DevExpress.Charts.Native.IXYDiagram.get_ScrollingEnabled",1,0,0.01,0.00,
"DevExpress.XtraCharts.XYDiagram2D.DevExpress.Charts.Native.IXYDiagram.GetAxisXLength",2,0,0.02,0.00,
"DevExpress.XtraCharts.XYDiagram2D.DevExpress.Charts.Native.IXYDiagram.GetPaneAxesData",2,0,0.02,0.00,
"DevExpress.XtraCharts.XYDiagram2D.DevExpress.Charts.Native.IXYDiagram.UpdateCrosshairData",13,0,0.12,0.00,
"DevExpress.XtraCharts.XYDiagram2D.DevExpress.XtraCharts.Native.ISupportRangeControl.Invalidate",7,0,0.06,0.00,
"DevExpress.XtraCharts.XYDiagram2D.get_ActualPanes",2,0,0.02,0.00,
"DevExpress.XtraCharts.XYDiagram2D.get_DependsOnBounds",4,0,0.04,0.00,
"DevExpress.XtraCharts.XYDiagram2D.get_HasSmartAxisX",4,0,0.04,0.00,
"DevExpress.XtraCharts.XYDiagram2D.GetAllAxesY",2,0,0.02,0.00,
"DevExpress.XtraCharts.XYDiagram2D.GetAxisLength",1,0,0.01,0.00,
"DevExpress.XtraCharts.XYDiagram2D.GetLegendItems",1,0,0.01,0.00,
"DevExpress.XtraCharts.XYDiagram2D.GetPaneAxesData",3,0,0.03,0.00,
"DevExpress.XtraCharts.XYDiagram2D.Update","1.031",0,9.56,0.00,
"DevExpress.XtraCharts.XYDiagram2D.UpdateAutomaticMeasurement",25,0,0.23,0.00,
"DevExpress.XtraCharts.XYDiagram2D.UpdateAutomaticMeasurement",24,0,0.22,0.00,
"DevExpress.XtraCharts.XYDiagram2DSeriesViewBase.Assign",1,0,0.01,0.00,
"DevExpress.XtraCharts.XYDiagram2DSeriesViewBase.DevExpress.Charts.Native.IXYSeriesView.get_CrosshairEnabled",1,0,0.01,0.00,
